门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
A001	24	春苑分店	昆明市春苑商场路外围附14号	云南分部	药店	0871-68224781	0871-68224781	昆明二部	昆明	昆明西区	昆明西区07	2022/12/8 17:42	1998/12/28 0:00		25.043231	102.674175
A003	23	大观商业城分店	昆明市大观商业城北面E1、E2座地上一层3401F1F0001-B、3401F1F0002号铺位	云南分部	药店	0871-65737645	0871-65737645	昆明一部	昆明	昆明北区	昆明北区05	2022/11/10 15:33	1999/2/9 0:00		25.042766	102.697346
A005	28	人民东路分店	昆明市人民东路141号	云南分部	药店	0871-63181709	0871-63181709	昆明一部	昆明	昆明东区	昆明东区09	2022/7/26 15:20	1999/5/20 0:00		25.0431	102.726786
A007	30	吴井路分店	昆明市吴井路96号	云南分部	药店	0871-63135845	0871-63135845	昆明二部	昆明	昆明南区	昆明南区03	2022/11/28 14:51	1999/6/2 0:00		25.030424	102.722802
A008	31	胜利花园分店	昆明市新迎北区10组团156栋2单元102号商铺	云南分部	药店	0871-63302927	0871-63302927	昆明一部	昆明	昆明东区	昆明东区08	2022/10/21 14:13	1999/8/8 0:00		25.055667	102.734132
A014	37	江东花园分店	昆明市江东花园(一期)165幢2单元26号商铺	云南分部	药店	0871-65703473	0871-65745208	昆明一部	昆明	昆明东区	昆明东区03	2022/9/16 16:17	2000/4/20 0:00		25.074032	102.724289
A015	38	苏家塘分店	昆明市苏家塘小区9-12商网、9-13号商网	云南分部	药店	0871-65350315	0871-65350315	昆明一部	昆明	昆明北区	昆明北区03	2022/8/15 15:24	2000/6/18 0:00		25.062244	102.692071
A016	39	吉庆分店	昆明市螺峰街39号铺面	云南分部	药店	0871-65131386	0871-65131386	昆明一部	昆明	昆明北区	昆明北区04	2022/9/20 15:11	2000/6/24 0:00		25.048128	102.710986
A018	41	东风东路分店	昆明市东风东路149号红房子温泉酒店一层临街商铺	云南分部	药店	0871-63381869	0871-63381869	昆明二部	昆明	昆明南区	昆明南区01	2022/12/6 16:17	2000/8/13 0:00		25.038587	102.736646
A019	42	刘家营分店	昆明市刘家营小区隆基组团铺面第3栋11-12号铺面	云南分部	药店	0871-64110419	0871-64110419	昆明二部	昆明	昆明西区	昆明西区05	2022/9/14 14:51	2000/9/8 0:00		25.024348	102.692593
A020	43	金实小区分店	昆明市金实小区A3独立商网	云南分部	药店	0871-65720475	0871-65720475	昆明一部	昆明	昆明东区	昆明东区03	2022/7/26 15:26	2000/9/16 0:00		25.075115	102.731333
A022	45	华龙分店	昆明市气象路30号空置铺面	云南分部	药店	0871-64113942	0871-64113942	昆明二部	昆明	昆明西区	昆明西区05	2022/9/26 17:23	2000/11/25 0:00		25.026416	102.700675
A024	47	环城南路分店	昆明市环城南路浙南酒店一楼临街经营场地1168号	云南分部	药店	0871-63523146	0871-63523146	昆明二部	昆明	昆明南区	昆明南区03	2022/7/26 15:05	2001/2/1 0:00		25.02463	102.7223
A025	48	国贸分店	昆明市官渡区春城路289号地上一层5835F1F0002号	云南分部	药店	0871-63573685	0871-63573685	昆明二部	昆明	昆明南区	昆明南区04	2022/7/26 15:05	2001/7/27 0:00		25.013003	102.730215
A026	49	桃源街分店	昆明市桃源广场高级公寓D幢70号,70-1号商铺	云南分部	药店	0871-65745218	0871-65745218	昆明一部	昆明	昆明东区	昆明东区09	2022/7/26 15:04	2001/8/20 0:00		25.046981	102.716836
A027	50	茭菱路分店	昆明市五华区茭菱路36号	云南分部	药店	0871-65749662	0871-65749662	昆明一部	昆明	昆明北区	昆明北区05	2022/11/10 15:39	2001/9/20 0:00		25.049275	102.68924
A028	51	鸣翠园分店	昆明市江东鸣翠园18-1-101号商铺	云南分部	药店	0871-65706345	0871-65706345	昆明一部	昆明	昆明东区	昆明东区03	2022/9/22 17:14	2001/9/22 0:00		25.08334	102.738976
A029	52	白云路分店	昆明市新迎小区9组团128栋2单元1楼101,102号商住房	云南分部	药店	0871-63358684	0871-63358684	昆明一部	昆明	昆明东区	昆明东区07	2022/10/11 9:28	2001/9/24 0:00		25.057067	102.736983
A030	53	新闻路分店	昆明市新闻路268号	云南分部	药店	0871-64180752	0871-64180752	昆明一部	昆明	昆明北区	昆明北区05	2022/11/10 15:42	2001/9/29 0:00		25.035815	102.693188
A032	55	金沙小区分店	昆明市金沙小区中心花园商网	云南分部	药店	0871-63804390	0871-65168754	昆明一部	昆明	昆明东区	昆明东区05	2022/9/19 11:05	2002/3/28 0:00		25.042217	102.761143
A033	56	龙泉分店	昆明市王旗营龙泉花园24幢101号商铺	云南分部	药店	0871-65722157	0871-65722157	昆明一部	昆明	昆明东区	昆明东区07	2022/11/30 10:28	2002/4/11 0:00		25.061512	102.726321
A035	58	东华小区分店	昆明市人民东路318-320号商铺	云南分部	药店	0871-63338233	0871-63338233	昆明一部	昆明	昆明东区	昆明东区08	2022/7/26 14:56	2002/4/19 0:00		25.04407	102.734719
A038	61	新港花园分店	昆明市东寺街新港花园84号商铺	云南分部	药店	0871-63601055	0871-63601055	昆明二部	昆明	昆明西区	昆明西区06	2022/11/8 15:40	2002/7/15 0:00		25.031091	102.708995
A039	62	青年路分店	昆明市青年路136-138号	云南分部	药店	0871-65136582	0871-65136582	昆明一部	昆明	昆明北区	昆明北区04	2022/7/28 15:33	2002/7/19 0:00		25.036117	102.716669
